Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2000 Rank,2006 Rank,2010 Rank,2019/20 Rank
BK,Brooklyn,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,50.3%,49.6%,49.5%,,,3,3,3
BK,Brooklyn,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.4%,6.0%,,,,4,5
BK,Brooklyn,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,37.8%,37.8%,37.8%,35.4%,,2,2,2,2
BK,Brooklyn,Demographics,Population,"All people, both children and adults, living in a given geographic area.","2,465,326","2,508,820","2,508,340","2,559,903",,,,,
BK,Brooklyn,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.5%,12.0%,11.5%,14.4%,,4,3,4,4
BK,Brooklyn,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,38.2%,34.7%,34.2%,29.8%,,3,3,3,3
BK,Brooklyn,Demographics,Single-person households,The share of households that include only one person.,,29.7%,28.2%,27.9%,,,3,3,3
BK,Brooklyn,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,7.5%,9.0%,10.5%,11.9%,,3,3,3,3
BK,Brooklyn,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,34.4%,33.6%,32.2%,29.8%,,1,1,1,1
BK,Brooklyn,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,19.8%,19.8%,19.9%,18.9%,,4,4,4,4
BK,Brooklyn,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,34.7%,35.8%,35.6%,36.5%,,3,3,3,3
BK,Brooklyn,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.72,0.71,0.72,0.73,,2,2,2,2
BK,Brooklyn,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.3,5.7,6.4,,,2,3,3
BK,Brooklyn,Demographics,Median household income (2020$),The median household's total income of all members of the household aged 15 years or older.,"$51,370","$51,780","$49,500","$68,080",,4,4,4,4
BK,Brooklyn,Demographics,"Median household income, homeowners (2020$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$87,810","$83,390","$107,740",,,3,4,3
BK,Brooklyn,Demographics,"Median household income, renters (2020$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$38,170","$39,710","$53,620",,,4,3,3
BK,Brooklyn,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,25.1%,22.6%,23.0%,17.7%,,2,2,2,2
