Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2000 Rank,2006 Rank,2010 Rank,2019/20 Rank
BX,The Bronx,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,54.2%,51.9%,53.4%,,,2,2,2
BX,The Bronx,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,12.2%,13.4%,,,,1,1
BX,The Bronx,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,29.3%,31.8%,34.3%,33.7%,,4,3,3,3
BX,The Bronx,Demographics,Population,"All people, both children and adults, living in a given geographic area.","1,327,690","1,361,473","1,386,657","1,418,207",,,,,
BX,The Bronx,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,10.1%,10.3%,10.6%,13.4%,,5,5,5,5
BX,The Bronx,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,43.8%,41.3%,41.3%,32.9%,,1,1,1,1
BX,The Bronx,Demographics,Single-person households,The share of households that include only one person.,,29.9%,29.2%,34.6%,,,2,2,2
BX,The Bronx,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,2.9%,3.3%,3.4%,3.7%,,5,5,5,5
BX,The Bronx,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,30.9%,30.8%,30.5%,29.0%,,2,2,2,2
BX,The Bronx,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,48.7%,51.0%,53.6%,56.4%,,1,1,1,1
BX,The Bronx,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,14.5%,12.9%,10.9%,8.8%,,5,5,5,5
BX,The Bronx,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.65,0.63,0.61,0.59,,4,4,4,4
BX,The Bronx,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.7,5.8,6.5,,,3,2,2
BX,The Bronx,Demographics,Median household income (2020$),The median household's total income of all members of the household aged 15 years or older.,"$44,130","$40,370","$38,250","$42,140",,5,5,5,5
BX,The Bronx,Demographics,"Median household income, homeowners (2020$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$79,590","$78,650","$88,490",,,5,5,5
BX,The Bronx,Demographics,"Median household income, renters (2020$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$33,300","$31,810","$34,490",,,5,5,5
BX,The Bronx,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,30.7%,29.1%,30.2%,26.4%,,1,1,1,1
BX,The Bronx,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,22.6%,22.5%,25.2%,,,2,1,1
BX,The Bronx,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,41.3%,43.0%,37.1%,,,1,1,1
BX,The Bronx,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,58.0%,58.7%,59.2%,,,5,4,5
BX,The Bronx,Demographics,Population aged 25+ with a bachelor's degree or higher,The percentage of the population aged 25 and older who have attained a bachelor's degree or higher.,14.6%,16.4%,16.9%,20.4%,,5,5,5,5
BX,The Bronx,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,31.6%,30.8%,25.6%,,,1,1,1
BX,The Bronx,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",14.32%,11.76%,15.76%,9.07%,,1,1,1,1
BX,The Bronx,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,19.5%,21.5%,18.8%,18.9%,,5,5,5,5
BX,The Bronx,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"506,396","512,024","537,197",,,4,4,4
BX,The Bronx,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.7%,2.0%,,,,3,5
BX,The Bronx,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2019 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,127.5,114.2,161.2,113.5,,1,1,1
BX,The Bronx,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,4.1%,5.7%,,,,3,1
BX,The Bronx,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,608.9,502.2,523.4,334.7,,1,1,1
BX,The Bronx,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",10.4,14.7,23.0,11.1,4.7,2,1,2,1
BX,The Bronx,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,841,"1,223","1,982",930,402,3,3,3,3
BX,The Bronx,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,618,930,"1,416",407,158,4,3,3,3
BX,The Bronx,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,160,236,444,492,227,3,3,3,3
