Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2000 Rank,2006 Rank,2010 Rank,2019/20 Rank
MN,Manhattan,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,44.9%,42.5%,43.4%,,,4,5,5
MN,Manhattan,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.3%,6.8%,,,,5,4
MN,Manhattan,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,29.4%,28.7%,28.5%,27.8%,,3,4,4,4
MN,Manhattan,Demographics,Population,"All people, both children and adults, living in a given geographic area.","1,529,375","1,611,581","1,586,698","1,628,706",,,,,
MN,Manhattan,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,12.2%,12.7%,13.5%,17.0%,,2,2,1,1
MN,Manhattan,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,19.7%,20.2%,18.2%,16.6%,,5,5,5,5
MN,Manhattan,Demographics,Single-person households,The share of households that include only one person.,,49.6%,46.1%,47.6%,,,1,1,1
MN,Manhattan,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,9.4%,11.0%,11.1%,12.3%,,2,2,2,2
MN,Manhattan,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,15.2%,14.1%,12.8%,12.3%,,4,4,4,4
MN,Manhattan,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,27.0%,25.4%,25.6%,25.6%,,2,3,3,3
MN,Manhattan,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,46.0%,47.8%,47.8%,46.9%,,2,2,2,2
MN,Manhattan,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.68,0.68,0.68,0.68,,3,3,3,3
MN,Manhattan,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,8.4,8.0,7.8,,,1,1,1
MN,Manhattan,Demographics,Median household income (2020$),The median household's total income of all members of the household aged 15 years or older.,"$75,170","$76,940","$74,980","$95,250",,2,2,2,1
MN,Manhattan,Demographics,"Median household income, homeowners (2020$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$164,860","$155,080","$187,200",,,1,1,1
MN,Manhattan,Demographics,"Median household income, renters (2020$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$61,430","$61,320","$80,290",,,1,1,1
MN,Manhattan,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,19.9%,18.3%,16.4%,14.0%,,3,3,3,3
MN,Manhattan,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,20.4%,17.0%,19.2%,,,3,3,3
