Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2000 Rank,2006 Rank,2010 Rank,2019/20 Rank
SI,Staten Island,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,72.5%,71.7%,69.9%,,,1,1,1
SI,Staten Island,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,7.1%,7.2%,,,,2,2
SI,Staten Island,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,16.4%,20.9%,21.4%,23.5%,,5,5,5,5
SI,Staten Island,Demographics,Population,"All people, both children and adults, living in a given geographic area.","443,728","477,377","469,363","476,143",,,,,
SI,Staten Island,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.6%,11.8%,12.7%,16.7%,,3,4,3,2
SI,Staten Island,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,38.5%,38.7%,36.8%,31.1%,,2,2,2,2
SI,Staten Island,Demographics,Single-person households,The share of households that include only one person.,,21.6%,21.4%,23.6%,,,5,5,5
SI,Staten Island,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,5.6%,7.4%,7.8%,10.7%,,4,4,4,4
SI,Staten Island,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,8.9%,9.4%,9.6%,9.5%,,5,5,5,5
SI,Staten Island,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,12.1%,14.9%,17.4%,18.6%,,5,5,5,5
SI,Staten Island,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,71.3%,66.8%,64.1%,59.5%,,1,1,1,1
SI,Staten Island,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.47,0.52,0.54,0.59,,5,5,5,4
SI,Staten Island,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.3,5.3,4.3,,,4,4,5
SI,Staten Island,Demographics,Median household income (2020$),The median household's total income of all members of the household aged 15 years or older.,"$87,980","$87,970","$82,880","$91,360",,1,1,1,2
SI,Staten Island,Demographics,"Median household income, homeowners (2020$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$107,090","$104,990","$114,250",,,2,2,2
SI,Staten Island,Demographics,"Median household income, renters (2020$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$41,930","$37,670","$49,840",,,3,4,4
SI,Staten Island,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,10.0%,9.2%,11.8%,8.3%,,5,5,5,5
SI,Staten Island,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,11.0%,11.8%,8.0%,,,5,5,5
SI,Staten Island,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,11.8%,17.1%,12.5%,,,5,5,5
SI,Staten Island,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,61.8%,58.7%,61.6%,,,3,4,4
SI,Staten Island,Demographics,Population aged 25+ with a bachelor's degree or higher,The percentage of the population aged 25 and older who have attained a bachelor's degree or higher.,23.2%,26.8%,30.7%,36.2%,,3,4,2,3
SI,Staten Island,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,12.1%,12.0%,11.0%,,,5,5,5
SI,Staten Island,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",5.89%,5.36%,9.06%,3.99%,,5,5,5,5
SI,Staten Island,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,63.8%,72.0%,69.6%,65.7%,,1,1,1,1
SI,Staten Island,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"177,353","176,696","181,765",,,5,5,5
SI,Staten Island,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,7.6%,6.5%,,,,1,1
SI,Staten Island,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2019 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,19.0,37.2,38.4,29.7,,5,4,4
SI,Staten Island,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,1.9%,2.8%,,,,5,5
SI,Staten Island,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,131.5,164.8,160.8,101.9,,5,4,4
SI,Staten Island,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",6.8,8.5,14.6,7.8,2.7,4,4,4,4
SI,Staten Island,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,735,994,"1,722",938,328,4,4,4,4
SI,Staten Island,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,690,757,"1,392",403,123,3,4,4,4
